sample,repeat_class,repeat_family,count,total_length,mean_length,mean_div
T2T03,DNA,hAT-Charlie,506403,91925091,181.525565606839,23.0561615946193
T2T03,DNA,hAT-Tag1,3982,880646,221.15670517328,25.9507533902562
T2T03,DNA,hAT-Tip100,126728,24736671,195.194992424721,25.2998421816805
T2T03,DNA,hAT-hAT19,34,3212,94.4705882352941,22.3941176470588
T2T03,LINE,CR1,121331,21250038,175.141043921174,30.0115535188864
T2T03,LINE,Dong-R4,956,206911,216.43410041841,28.6359832635983
T2T03,LINE,I-Jockey,235,28485,121.212765957447,26.8527659574468
T2T03,LINE,L1,1904060,1020718838,536.074933563018,19.4137823387918
T2T03,LINE,L1-Tx1,345,94837,274.889855072464,28.1023188405797
T2T03,LINE,L2,970823,204602407,210.751503621154,29.5139899858162
T2T03,LINE,RTE-BovB,10747,1691724,157.413603796408,31.0341676746999
T2T03,LINE,RTE-X,25320,5800634,229.092969984202,28.4307266982622
T2T03,LTR,DIRS,13693,939341,68.6000876360184,24.9808588329804
T2T03,LTR,ERV1,357994,167075576,466.699374849858,15.7948205835852
T2T03,LTR,ERVK,20688,17317609,837.084735112142,8.60934841453983
T2T03,LTR,ERVL,320626,116390274,363.009468976315,23.1530356240604
T2T03,LTR,ERVL-MaLR,682557,219189958,321.130627918254,20.2766325742758
T2T03,LTR,Gypsy,41107,8658477,210.6326659693,27.8923516675992
T2T03,LTR,Unknown,27795,5814556,209.194315524375,27.0902716315884
T2T03,Low_complexity,Unknown,215546,17244418,80.0034238631197,19.5114351460941
T2T03,PLE,Unknown,1432,126450,88.3030726256983,23.6247905027933
T2T03,RC,Helitron,4175,868256,207.965508982036,27.0428263473054
T2T03,Retroposon,SVA,85838,17701448,206.219250215522,23.7052971877257
T2T03,SINE,5S-Deu-L2,3893,424130,108.946827639353,27.5539943488312
T2T03,SINE,Alu,2407804,623762673,259.058741076932,13.0287256354753
T2T03,SINE,MIR,1128897,160379375,142.067323236752,28.2672871838618
T2T03,SINE,tRNA,3104,391930,126.266108247423,29.5043492268041
T2T03,SINE,tRNA-Deu,846,91740,108.439716312057,27.9267139479905
T2T03,SINE,tRNA-Deu-L2,14,801,57.2142857142857,21.6285714285714
T2T03,SINE,tRNA-RTE,8363,1074287,128.457132607916,31.0605285184742
T2T03,Satellite,Unknown,60636,111855537,1844.70507619236,14.2107477406161
T2T03,Satellite,acro,1488,1440892,968.341397849462,16.3210349462366
T2T03,Satellite,centr,4738,179827855,37954.3805403124,16.3426340227944
T2T03,Satellite,subtelo,348,270352,776.873563218391,10.601724137931
T2T03,Simple_repeat,Unknown,1443238,128476135,89.0193682538846,10.6872951654543
T2T03,Unknown,Unknown,83837,13633815,162.622887269344,17.8814962367451
T2T03,rRNA,Unknown,8409,8796196,1046.04542751814,8.22222618622904
T2T03,scRNA,Unknown,3596,366669,101.965795328142,10.8131256952169
T2T03,snRNA,Unknown,9952,902173,90.6524316720257,13.2073653536977
T2T03,srpRNA,Unknown,4379,594759,135.8207353277,16.4989952043846
T2T03,tRNA,Unknown,4136,238797,57.7362185686654,10.6581237911025
T2T04,DNA,Crypton,563,82114,145.85079928952,25.4706927175844
T2T04,DNA,Crypton-A,268,38860,145.0,26.6358208955224
T2T04,DNA,Kolobok,709,117169,165.25952045134,24.941466854725
T2T04,DNA,MULE-MuDR,5921,1952982,329.83989191015,18.1161459212971
T2T04,DNA,Merlin,441,75985,172.301587301587,21.3836734693878
T2T04,DNA,PIF-Harbinger,730,127267,174.338356164384,26.5656164383562
T2T04,DNA,PiggyBac,4761,1047962,220.11384162991,13.0285654274312
T2T04,DNA,TcMar,299,57472,192.214046822742,26.7789297658863
T2T04,DNA,TcMar-Mariner,31989,5592283,174.818937759855,15.1229985307449
T2T04,DNA,TcMar-Pogo,64,7648,119.5,24.7109375
T2T04,DNA,TcMar-Tc1,1522,258512,169.850197109067,21.8952036793692
T2T04,DNA,TcMar-Tc2,15690,3241551,206.599808795411,24.1731357552581
T2T04,DNA,TcMar-Tigger,243431,73295159,301.092132883651,20.1951012812666
T2T04,DNA,Unknown,15174,2159690,142.328324766047,25.7336694345591
T2T04,DNA,hAT,5366,978256,182.306373462542,26.0493291092061
